CD_REFNIS,tx_descr_nl,tx_descr_fr,TX_FST_NAME,MS_FREQUENCY,YEAR,GENDER
11001,Aartselaar,Aartselaar,Emma,15,2009,F
11001,Aartselaar,Aartselaar,Erna,15,2009,F
11001,Aartselaar,Aartselaar,Helena,15,2009,F
11001,Aartselaar,Aartselaar,Isabelle,15,2009,F
11001,Aartselaar,Aartselaar,Lien,15,2009,F
11001,Aartselaar,Aartselaar,Lisa,15,2009,F
11001,Aartselaar,Aartselaar,Margareta,15,2009,F
11001,Aartselaar,Aartselaar,Marijke,15,2009,F
11001,Aartselaar,Aartselaar,Anne-Marie,14,2009,F
11001,Aartselaar,Aartselaar,Leen,14,2009,F
11001,Aartselaar,Aartselaar,Rosette,14,2009,F
11001,Aartselaar,Aartselaar,V‚ronique,14,2009,F
11001,Aartselaar,Aartselaar,Bertha,13,2009,F
11001,Aartselaar,Aartselaar,Christina,13,2009,F
11001,Aartselaar,Aartselaar,Gabriella,13,2009,F
11001,Aartselaar,Aartselaar,Heidi,13,2009,F
11001,Aartselaar,Aartselaar,Lucienne,13,2009,F
11001,Aartselaar,Aartselaar,Marie-Louise,13,2009,F
11001,Aartselaar,Aartselaar,Stefanie,13,2009,F
11001,Aartselaar,Aartselaar,Amber,12,2009,F
11001,Aartselaar,Aartselaar,Britt,12,2009,F
11001,Aartselaar,Aartselaar,Eveline,12,2009,F
11001,Aartselaar,Aartselaar,Evi,12,2009,F
11001,Aartselaar,Aartselaar,Gabrielle,12,2009,F
11001,Aartselaar,Aartselaar,Germaine,12,2009,F
11001,Aartselaar,Aartselaar,Godelieva,12,2009,F
11001,Aartselaar,Aartselaar,Karina,12,2009,F
11001,Aartselaar,Aartselaar,Kirsten,12,2009,F
11001,Aartselaar,Aartselaar,Lutgarde,12,2009,F
11001,Aartselaar,Aartselaar,Marcella,12,2009,F
11001,Aartselaar,Aartselaar,Marianne,12,2009,F
11001,Aartselaar,Aartselaar,Marie-Jos‚,12,2009,F
11001,Aartselaar,Aartselaar,Nele,12,2009,F
11001,Aartselaar,Aartselaar,Sabine,12,2009,F
11001,Aartselaar,Aartselaar,Vanessa,12,2009,F
11001,Aartselaar,Aartselaar,Veronique,12,2009,F
11001,Aartselaar,Aartselaar,Anouk,11,2009,F
11001,Aartselaar,Aartselaar,Evelien,11,2009,F
11001,Aartselaar,Aartselaar,Joke,11,2009,F
11001,Aartselaar,Aartselaar,Josepha,11,2009,F
11001,Aartselaar,Aartselaar,Karine,11,2009,F
11001,Aartselaar,Aartselaar,Margaretha,11,2009,F
11001,Aartselaar,Aartselaar,Petra,11,2009,F
11001,Aartselaar,Aartselaar,Philomena,11,2009,F
11001,Aartselaar,Aartselaar,Shana,11,2009,F
11001,Aartselaar,Aartselaar,Simone,11,2009,F
11001,Aartselaar,Aartselaar,Tamara,11,2009,F
11001,Aartselaar,Aartselaar,Tania,11,2009,F
11001,Aartselaar,Aartselaar,Andrea,10,2009,F
11001,Aartselaar,Aartselaar,Angela,10,2009,F
11001,Aartselaar,Aartselaar,Arlette,10,2009,F
11001,Aartselaar,Aartselaar,Augusta,10,2009,F
11001,Aartselaar,Aartselaar,Birgit,10,2009,F
11001,Aartselaar,Aartselaar,Camille,10,2009,F
11001,Aartselaar,Aartselaar,Catherine,10,2009,F
11001,Aartselaar,Aartselaar,Dominique,10,2009,F
11001,Aartselaar,Aartselaar,Francine,10,2009,F
11001,Aartselaar,Aartselaar,Hanne,10,2009,F
11001,Aartselaar,Aartselaar,Iris,10,2009,F
11001,Aartselaar,Aartselaar,IrŠne,10,2009,F
11001,Aartselaar,Aartselaar,Jana,10,2009,F
11001,Aartselaar,Aartselaar,Julienne,10,2009,F
11001,Aartselaar,Aartselaar,Kato,10,2009,F
11001,Aartselaar,Aartselaar,Sonia,10,2009,F
11001,Aartselaar,Aartselaar,Anke,9,2009,F
11001,Aartselaar,Aartselaar,Astrid,9,2009,F
11001,Aartselaar,Aartselaar,Carina,9,2009,F
11001,Aartselaar,Aartselaar,Dorien,9,2009,F
11001,Aartselaar,Aartselaar,Irma,9,2009,F
11001,Aartselaar,Aartselaar,Josephine,9,2009,F
11001,Aartselaar,Aartselaar,Kristien,9,2009,F
11001,Aartselaar,Aartselaar,Lieve,9,2009,F
11001,Aartselaar,Aartselaar,Ludovica,9,2009,F
11001,Aartselaar,Aartselaar,Lutgardis,9,2009,F
11001,Aartselaar,Aartselaar,Melissa,9,2009,F
11001,Aartselaar,Aartselaar,Pauline,9,2009,F
11001,Aartselaar,Aartselaar,Ren‚e,9,2009,F
11001,Aartselaar,Aartselaar,Silke,9,2009,F
11001,Aartselaar,Aartselaar,St‚phanie,9,2009,F
11001,Aartselaar,Aartselaar,Suzanna,9,2009,F
11001,Aartselaar,Aartselaar,Suzanne,9,2009,F
11001,Aartselaar,Aartselaar,Sylvie,9,2009,F
11001,Aartselaar,Aartselaar,Tine,9,2009,F
11001,Aartselaar,Aartselaar,Zo‰,9,2009,F
11001,Aartselaar,Aartselaar,Bernadette,8,2009,F
11001,Aartselaar,Aartselaar,Brigitta,8,2009,F
11001,Aartselaar,Aartselaar,Cathy,8,2009,F
11001,Aartselaar,Aartselaar,Daisy,8,2009,F
11001,Aartselaar,Aartselaar,Elisa,8,2009,F
11001,Aartselaar,Aartselaar,Elsje,8,2009,F
11001,Aartselaar,Aartselaar,Greet,8,2009,F
11001,Aartselaar,Aartselaar,Ine,8,2009,F
11001,Aartselaar,Aartselaar,Jade,8,2009,F
11001,Aartselaar,Aartselaar,Jill,8,2009,F
11001,Aartselaar,Aartselaar,Jos‚,8,2009,F
11001,Aartselaar,Aartselaar,Jos‚e,8,2009,F
11001,Aartselaar,Aartselaar,Lauren,8,2009,F
11001,Aartselaar,Aartselaar,Leona,8,2009,F
11001,Aartselaar,Aartselaar,Lies,8,2009,F
11001,Aartselaar,Aartselaar,Lilianne,8,2009,F
11001,Aartselaar,Aartselaar,Lore,8,2009,F
11001,Aartselaar,Aartselaar,Louise,8,2009,F
11001,Aartselaar,Aartselaar,Luna,8,2009,F
11001,Aartselaar,Aartselaar,Madeleine,8,2009,F
11001,Aartselaar,Aartselaar,Manon,8,2009,F
11001,Aartselaar,Aartselaar,Muriel,8,2009,F
11001,Aartselaar,Aartselaar,Nadia,8,2009,F
11001,Aartselaar,Aartselaar,Naomi,8,2009,F
11001,Aartselaar,Aartselaar,Natalie,8,2009,F
11001,Aartselaar,Aartselaar,Olga,8,2009,F
11001,Aartselaar,Aartselaar,Paulina,8,2009,F
11001,Aartselaar,Aartselaar,Sandy,8,2009,F
11001,Aartselaar,Aartselaar,Sanne,8,2009,F
11001,Aartselaar,Aartselaar,Saskia,8,2009,F
11001,Aartselaar,Aartselaar,Sylvia,8,2009,F
11001,Aartselaar,Aartselaar,Val‚rie,8,2009,F
11001,Aartselaar,Aartselaar,Yolanda,8,2009,F
11001,Aartselaar,Aartselaar,Yolande,8,2009,F
11001,Aartselaar,Aartselaar,Yvette,8,2009,F
11001,Aartselaar,Aartselaar,Anneleen,7,2009,F
11001,Aartselaar,Aartselaar,Annemie,7,2009,F
11001,Aartselaar,Aartselaar,Annita,7,2009,F
11001,Aartselaar,Aartselaar,Betty,7,2009,F
11001,Aartselaar,Aartselaar,Carla,7,2009,F
11001,Aartselaar,Aartselaar,Carolina,7,2009,F
11001,Aartselaar,Aartselaar,Charline,7,2009,F
11001,Aartselaar,Aartselaar,Elsa,7,2009,F
11001,Aartselaar,Aartselaar,Francisca,7,2009,F
11001,Aartselaar,Aartselaar,Jasmine,7,2009,F
11001,Aartselaar,Aartselaar,Jozefina,7,2009,F
11001,Aartselaar,Aartselaar,Kristine,7,2009,F
11001,Aartselaar,Aartselaar,Lena,7,2009,F
11001,Aartselaar,Aartselaar,Lia,7,2009,F
11001,Aartselaar,Aartselaar,Lotte,7,2009,F
11001,Aartselaar,Aartselaar,Marjan,7,2009,F
11001,Aartselaar,Aartselaar,Micheline,7,2009,F
11001,Aartselaar,Aartselaar,Mireille,7,2009,F
11001,Aartselaar,Aartselaar,Nina,7,2009,F
11001,Aartselaar,Aartselaar,Roxanne,7,2009,F
11001,Aartselaar,Aartselaar,Sabrina,7,2009,F
11001,Aartselaar,Aartselaar,Sigrid,7,2009,F
11001,Aartselaar,Aartselaar,Tanja,7,2009,F
11001,Aartselaar,Aartselaar,Theresia,7,2009,F
11001,Aartselaar,Aartselaar,Aline,6,2009,F
11001,Aartselaar,Aartselaar,AngŠle,6,2009,F
11001,Aartselaar,Aartselaar,Aur‚lie,6,2009,F
11001,Aartselaar,Aartselaar,Barbara,6,2009,F
11001,Aartselaar,Aartselaar,Brenda,6,2009,F
11001,Aartselaar,Aartselaar,Cecilia,6,2009,F
11001,Aartselaar,Aartselaar,Chlo‰,6,2009,F
11001,Aartselaar,Aartselaar,Clara,6,2009,F
11001,Aartselaar,Aartselaar,Emilie,6,2009,F
11001,Aartselaar,Aartselaar,Evelyne,6,2009,F
11001,Aartselaar,Aartselaar,Fran‡oise,6,2009,F
11001,Aartselaar,Aartselaar,Gilberte,6,2009,F
11001,Aartselaar,Aartselaar,Hannelore,6,2009,F
11001,Aartselaar,Aartselaar,Henriette,6,2009,F
11001,Aartselaar,Aartselaar,Ina,6,2009,F
11001,Aartselaar,Aartselaar,Jeanine,6,2009,F
11001,Aartselaar,Aartselaar,Jente,6,2009,F
11001,Aartselaar,Aartselaar,Jessica,6,2009,F
11001,Aartselaar,Aartselaar,Judith,6,2009,F
11001,Aartselaar,Aartselaar,Kaat,6,2009,F
11001,Aartselaar,Aartselaar,Kristin,6,2009,F
11001,Aartselaar,Aartselaar,Laurence,6,2009,F
11001,Aartselaar,Aartselaar,Liesbet,6,2009,F
11001,Aartselaar,Aartselaar,Lucia,6,2009,F
11001,Aartselaar,Aartselaar,Marlies,6,2009,F
11001,Aartselaar,Aartselaar,MichŠle,6,2009,F
11001,Aartselaar,Aartselaar,Monica,6,2009,F
11001,Aartselaar,Aartselaar,Monika,6,2009,F
11001,Aartselaar,Aartselaar,Reinhilde,6,2009,F
11001,Aartselaar,Aartselaar,Rina,6,2009,F
11001,Aartselaar,Aartselaar,Suzy,6,2009,F
11001,Aartselaar,Aartselaar,Thalia,6,2009,F
11001,Aartselaar,Aartselaar,Tina,6,2009,F
11001,Aartselaar,Aartselaar,Valerie,6,2009,F
11001,Aartselaar,Aartselaar,Adelheid,5,2009,F
11001,Aartselaar,Aartselaar,Alexandra,5,2009,F
